firm,date,amount,party,ideology_score
Evercrest Systems,2019-09-06,2652.32,D,-0.6911643501317529
UrbanStar Retail,2022-10-30,424.65,R,0.02898247316376057
Redwood Partners,2013-05-11,2017.66,D,-0.41854096357774834
Liberty Capital,2020-01-11,1112.39,D,-0.6437524832958241
Skyline Retail,2024-04-29,316.83,D,-0.22364750236744266
Skyline Retail,2015-11-26,581.18,D,-0.22364750236744266
Vertex Energy,2015-05-06,961.43,R,0.7556582113987458
Riverstone Technologies,2024-07-05,414.39,R,-0.23339868032552136
Highland Logistics,2021-12-25,997.06,D,-0.20675394355677812
Aspire Automotive,2010-04-16,559.51,R,-0.35502088901491985
Everton Technologies,2021-10-19,1082.0,D,-0.37360829603310824
Crescent Automotive,2016-08-21,3955.01,D,-0.7791419463933508
Vector Automotive,2019-04-10,1651.08,R,-0.2194167350229036
Skyline Retail,2022-03-28,1278.82,D,-0.22364750236744266
PrimeHealth Corporation,2023-06-13,979.25,D,0.09481580189139682
Sapphire Energy,2018-05-17,1254.33,D,0.16492209036610356
Centurion Capital,2021-05-14,3582.21,R,-0.39585349832026656
Pioneer Energy,2017-05-30,275.37,R,0.11750752865586686
TerraLine Logistics,2023-01-26,754.2,D,-0.7679229314410365
NextWave Semiconductor,2016-11-05,1347.61,D,0.3591266769818179
Quantum Systems,2010-07-30,1303.79,D,-0.41357155810874113
Centurion Capital,2010-11-07,262.01,R,-0.39585349832026656
SummitLine Logistics,2012-12-28,707.35,D,-0.6131155245656207
EaglePeak Aerospace,2022-09-24,1264.94,R,0.6649897912920661
Paramount Systems,2020-05-23,637.02,R,-0.6533450784599586
MetroTech Solutions,2021-02-24,2259.65,D,-0.28918774931432745
Harbor Retail Group,2017-08-12,322.25,D,0.18917697133120992
Orbit Semiconductor,2010-01-08,1169.92,R,0.3656188092303535
Sapphire Energy,2010-08-03,1166.04,D,0.16492209036610356
BlueRiver Manufacturing,2018-06-17,747.46,D,-0.7814248212212955
Crescent Automotive,2019-12-31,797.21,D,-0.7791419463933508
Aspire Automotive,2022-02-11,2173.02,D,-0.35502088901491985
Ironwood Aerospace,2017-06-20,1683.47,R,0.23918635548065395
EaglePeak Aerospace,2014-04-12,1919.29,R,0.6649897912920661
Arclight Manufacturing,2018-05-20,2475.57,D,-0.6856182543666501
Evercrest Systems,2021-06-19,1560.13,D,-0.6911643501317529
Pioneer Energy,2015-09-19,708.33,R,0.11750752865586686
Cobalt Holdings,2010-01-25,906.55,D,-0.34637523032738454
Evercrest Systems,2012-12-30,856.37,D,-0.6911643501317529
Vanguard Networks,2021-11-15,1147.79,D,-0.7441456161534608
Orbit Semiconductor,2021-11-28,591.69,D,0.3656188092303535
UrbanStar Retail,2018-09-08,319.46,R,0.02898247316376057
Northbridge Holdings,2021-01-01,557.87,D,-0.6469534176374777
Horizon Capital,2015-10-01,2006.24,R,-0.5446174747209411
Skyline Retail,2016-04-27,1116.84,D,-0.22364750236744266
Skyline Retail,2011-01-03,757.12,R,-0.22364750236744266
Brightline Capital,2020-06-13,2212.46,D,-0.7954508682253574
NorthStar Retail Group,2017-10-02,518.71,D,-0.21768137947876254
Vertex Energy,2017-05-22,3130.01,R,0.7556582113987458
Orbit Semiconductor,2018-08-31,856.64,D,0.3656188092303535
Aurora Networks,2019-08-14,1391.14,D,-0.5046547262203107
United Semiconductor,2024-07-28,742.35,R,0.7031948302175441
Zenith Industries,2019-05-06,1285.42,R,-0.3067997146495536
Redwood Partners,2012-04-12,1133.67,D,-0.41854096357774834
Aspire Automotive,2011-12-25,1155.59,D,-0.35502088901491985
Equinox Manufacturing,2022-11-30,288.69,D,-0.6370463795472789
Pioneer Energy,2024-12-22,264.1,R,0.11750752865586686
EaglePeak Aerospace,2013-07-06,2573.62,R,0.6649897912920661
Cypress Health,2018-03-18,2570.6,D,-0.1277995867856065
Zenith Industries,2015-10-20,632.27,R,-0.3067997146495536
Vertex Energy,2018-10-03,1540.89,R,0.7556582113987458
Mosaic Consumer Goods,2020-07-06,970.44,R,0.08298082509351284
Mountain Ridge Industries,2012-12-26,841.2,D,-0.12995084945525315
Crescent Automotive,2017-09-25,3068.26,D,-0.7791419463933508
NextWave Semiconductor,2015-03-08,915.8,R,0.3591266769818179
Quantum Systems,2020-01-22,890.56,R,-0.41357155810874113
Vector Automotive,2010-08-22,582.31,D,-0.2194167350229036
Atlas Health,2012-07-25,1052.81,D,-0.3304489338964671
SilverRock Solutions,2015-11-26,573.91,R,-0.34508089355433375
United Semiconductor,2015-09-06,1662.37,D,0.7031948302175441
BluePeak Technologies,2018-12-10,1275.93,D,-0.7292989994131897
Atlas Health,2020-11-21,2065.77,R,-0.3304489338964671
NextWave Semiconductor,2011-07-31,2839.07,R,0.3591266769818179
SilverRock Solutions,2015-08-08,225.95,D,-0.34508089355433375
Heritage Automotive,2021-05-13,1226.23,D,-0.3113024235082412
Aspire Automotive,2011-04-14,1434.86,D,-0.35502088901491985
Oakstone Industries,2023-03-18,776.23,D,-0.4462512983276463
Atlas Health,2017-07-28,3639.73,R,-0.3304489338964671
Heritage Automotive,2021-10-13,1186.24,D,-0.3113024235082412
Ironwood Aerospace,2017-10-23,651.21,R,0.23918635548065395
Mountain Ridge Industries,2017-02-01,2243.65,R,-0.12995084945525315
Orbit Semiconductor,2017-05-27,1281.1,D,0.3656188092303535
Horizon Capital,2021-08-12,1055.67,D,-0.5446174747209411
Aspire Automotive,2017-05-09,648.54,D,-0.35502088901491985
Vanguard Networks,2011-08-11,602.68,D,-0.7441456161534608
Harbor Retail Group,2010-01-11,319.65,R,0.18917697133120992
Oakstone Industries,2017-12-06,552.67,D,-0.4462512983276463
Longview Energy,2012-10-21,831.27,R,0.5124859787131362
Pioneer Energy,2010-09-26,633.17,R,0.11750752865586686
UrbanStar Retail,2020-03-23,1996.93,R,0.02898247316376057
PrimeHealth Corporation,2011-03-18,227.81,R,0.09481580189139682
Mountain Ridge Industries,2013-05-22,935.9,R,-0.12995084945525315
Aspire Automotive,2013-09-08,1966.44,D,-0.35502088901491985
Summit Technologies,2022-01-06,908.19,D,-0.6074794771416165
Liberty Capital,2019-08-09,1320.02,R,-0.6437524832958241
Omega Health,2020-08-26,1864.41,D,-0.17762111751192633
SummitLine Logistics,2023-03-14,2629.74,D,-0.6131155245656207
AmeriCore Energy,2023-07-25,908.63,R,0.7811810347855594
NovaBridge Partners,2019-07-31,626.26,D,-0.5350259359541526
NextWave Semiconductor,2014-06-21,973.71,R,0.3591266769818179
Evercrest Systems,2012-03-28,681.73,D,-0.6911643501317529
Everton Technologies,2012-08-21,5879.58,R,-0.37360829603310824
Sterling Logistics,2017-08-10,1375.73,D,-0.17547430260660823
Highland Logistics,2014-09-23,2225.15,R,-0.20675394355677812
United Semiconductor,2010-11-16,223.85,R,0.7031948302175441
Harbor Retail Group,2024-10-15,1280.95,D,0.18917697133120992
Sterling Logistics,2024-07-01,782.02,D,-0.17547430260660823
BluePeak Technologies,2012-08-23,3785.59,D,-0.7292989994131897
Horizon Capital,2010-06-19,3613.21,D,-0.5446174747209411
Everton Technologies,2014-05-06,1979.67,D,-0.37360829603310824
Mosaic Consumer Goods,2011-09-21,2214.85,D,0.08298082509351284
Crescent Automotive,2015-09-03,4931.56,D,-0.7791419463933508
Redwood Partners,2011-10-22,711.86,R,-0.41854096357774834
GoldenGate Networks,2017-08-03,2537.62,D,-0.5643838184211613
Omega Health,2011-09-11,1038.29,R,-0.17762111751192633
EaglePeak Aerospace,2011-02-11,1129.1,R,0.6649897912920661
Cypress Health,2021-02-17,451.33,D,-0.1277995867856065
Evercrest Systems,2016-05-13,1122.83,D,-0.6911643501317529
United Semiconductor,2018-11-27,234.5,R,0.7031948302175441
SummitLine Logistics,2010-03-08,2168.86,D,-0.6131155245656207
Cobalt Holdings,2013-09-07,588.42,D,-0.34637523032738454
Sterling Logistics,2017-09-19,570.56,D,-0.17547430260660823
Redwood Partners,2022-03-03,475.28,D,-0.41854096357774834
Northbridge Holdings,2022-08-13,1120.51,R,-0.6469534176374777
Sapphire Energy,2016-02-12,815.04,D,0.16492209036610356
NorthStar Retail Group,2017-05-04,992.55,D,-0.21768137947876254
Skyline Retail,2018-04-30,334.78,D,-0.22364750236744266
AmeriCore Energy,2024-12-04,3646.5,D,0.7811810347855594
Millennium Retail Group,2021-10-19,2131.73,D,-0.26308908144152243
EaglePeak Aerospace,2011-04-30,2547.37,R,0.6649897912920661
Centurion Capital,2013-08-16,1737.2,D,-0.39585349832026656
Highland Logistics,2011-11-14,3614.76,D,-0.20675394355677812
Mosaic Consumer Goods,2020-01-10,1295.4,D,0.08298082509351284
Aurora Networks,2016-08-03,2068.26,D,-0.5046547262203107
Sterling Logistics,2017-12-06,663.58,D,-0.17547430260660823
Cobalt Holdings,2012-05-13,746.8,D,-0.34637523032738454
Brightline Capital,2018-11-22,613.55,D,-0.7954508682253574
Atlas Health,2012-01-29,1465.73,D,-0.3304489338964671
Aspire Automotive,2010-05-27,1420.39,D,-0.35502088901491985
Pioneer Energy,2013-09-08,1323.63,D,0.11750752865586686
TerraLine Logistics,2022-06-14,1567.26,D,-0.7679229314410365
Zenith Industries,2017-11-13,412.53,D,-0.3067997146495536
Mountain Ridge Industries,2021-11-17,337.72,R,-0.12995084945525315
Harbor Retail Group,2018-12-09,642.84,D,0.18917697133120992
Sterling Logistics,2012-11-21,519.62,D,-0.17547430260660823
TerraLine Logistics,2015-04-28,967.62,D,-0.7679229314410365
Redwood Partners,2021-09-10,926.18,D,-0.41854096357774834
Horizon Capital,2016-08-10,745.38,D,-0.5446174747209411
Centurion Capital,2011-07-08,3653.98,D,-0.39585349832026656
SilverRock Solutions,2018-04-02,998.33,R,-0.34508089355433375
Cobalt Holdings,2016-09-12,670.27,D,-0.34637523032738454
BluePeak Technologies,2012-10-31,1464.99,D,-0.7292989994131897
Quantum Systems,2012-04-27,2603.11,D,-0.41357155810874113
Horizon Capital,2015-05-23,328.7,D,-0.5446174747209411
Mountain Ridge Industries,2014-05-26,460.16,D,-0.12995084945525315
GoldenGate Networks,2011-12-20,813.03,D,-0.5643838184211613
Crescent Automotive,2015-04-05,859.87,D,-0.7791419463933508
Vector Automotive,2013-01-08,2133.62,D,-0.2194167350229036
Northbridge Holdings,2010-09-13,478.35,D,-0.6469534176374777
Liberty Capital,2016-11-14,253.47,R,-0.6437524832958241
EaglePeak Aerospace,2021-05-28,2457.44,R,0.6649897912920661
Aspire Automotive,2024-09-30,202.95,D,-0.35502088901491985
Quantum Systems,2021-04-16,1429.6,D,-0.41357155810874113
Centurion Capital,2018-11-03,1120.12,D,-0.39585349832026656
BlueRiver Manufacturing,2010-02-17,612.27,D,-0.7814248212212955
Longview Energy,2023-11-30,1382.62,R,0.5124859787131362
PrimeHealth Corporation,2013-06-05,581.38,R,0.09481580189139682
Frontier Semiconductor,2017-02-23,2057.97,R,0.5736896411960379
Riverstone Technologies,2019-04-22,3963.59,R,-0.23339868032552136
Skyline Retail,2022-06-25,528.62,R,-0.22364750236744266
Quantum Systems,2010-06-15,363.77,D,-0.41357155810874113
Titan Aerospace,2023-02-25,506.29,R,0.30257157452147504
Mosaic Consumer Goods,2022-01-13,723.35,D,0.08298082509351284
NorthStar Retail Group,2019-07-11,597.23,R,-0.21768137947876254
Frontier Semiconductor,2019-01-12,8666.83,D,0.5736896411960379
Brightline Capital,2018-11-15,558.05,D,-0.7954508682253574
Sterling Logistics,2015-11-24,2581.17,R,-0.17547430260660823
Mosaic Consumer Goods,2012-02-14,1131.32,R,0.08298082509351284
Longview Energy,2016-02-03,1411.44,R,0.5124859787131362
Falcon Semiconductor,2017-02-09,529.09,D,0.16770146378342482
Apex Systems,2019-02-09,870.63,R,-0.3524012410794814
Paramount Systems,2016-01-05,316.79,D,-0.6533450784599586
Centurion Capital,2019-12-09,457.04,R,-0.39585349832026656
GoldenGate Networks,2022-03-07,704.31,D,-0.5643838184211613
NovaBridge Partners,2024-09-14,2362.45,R,-0.5350259359541526
Everton Technologies,2022-05-22,333.2,R,-0.37360829603310824
Riverstone Technologies,2013-05-29,1206.75,R,-0.23339868032552136
Horizon Capital,2015-02-02,897.07,D,-0.5446174747209411
SummitLine Logistics,2014-01-06,528.65,D,-0.6131155245656207
Horizon Capital,2024-04-23,2441.29,D,-0.5446174747209411
Vertex Energy,2021-07-01,836.79,R,0.7556582113987458
Titan Aerospace,2015-10-06,292.45,R,0.30257157452147504
Oakstone Industries,2012-01-16,380.87,D,-0.4462512983276463
TerraLine Logistics,2019-11-08,731.74,R,-0.7679229314410365
Falcon Semiconductor,2020-09-13,2227.53,D,0.16770146378342482
Liberty Capital,2015-12-27,1503.22,D,-0.6437524832958241
Evercrest Systems,2023-06-11,1298.61,D,-0.6911643501317529
AmeriCore Energy,2018-03-27,1156.29,D,0.7811810347855594
Greenfield Manufacturing,2010-02-01,2640.15,R,-0.2359265237170345
Cypress Health,2024-02-13,954.13,D,-0.1277995867856065
Vertex Energy,2021-09-04,1105.17,R,0.7556582113987458
Paramount Systems,2019-09-07,1287.38,D,-0.6533450784599586
Highland Logistics,2020-10-07,5703.32,D,-0.20675394355677812
Horizon Capital,2010-10-18,1224.79,D,-0.5446174747209411
Heritage Automotive,2022-09-14,2288.47,D,-0.3113024235082412
Paramount Systems,2015-09-11,417.22,D,-0.6533450784599586
NextWave Semiconductor,2022-06-19,1975.59,D,0.3591266769818179
NorthStar Retail Group,2011-08-10,1672.47,R,-0.21768137947876254
Liberty Capital,2017-03-27,802.53,D,-0.6437524832958241
SummitLine Logistics,2021-12-12,1167.12,D,-0.6131155245656207
Aurora Networks,2022-03-12,216.3,D,-0.5046547262203107
Equinox Manufacturing,2017-10-02,1126.67,D,-0.6370463795472789
Zenith Industries,2024-11-12,559.33,R,-0.3067997146495536
Aspire Automotive,2020-06-23,829.94,D,-0.35502088901491985
Infinity Partners,2010-07-29,1567.31,R,-0.2896112414347556
Skyline Retail,2021-08-24,707.98,R,-0.22364750236744266
Sterling Logistics,2021-07-13,420.21,R,-0.17547430260660823
Everton Technologies,2010-05-21,1337.75,D,-0.37360829603310824
Everton Technologies,2017-09-25,390.67,D,-0.37360829603310824
Highland Logistics,2019-04-09,1149.88,R,-0.20675394355677812
Millennium Retail Group,2024-04-18,2569.28,D,-0.26308908144152243
Summit Technologies,2011-08-01,2966.87,D,-0.6074794771416165
NextWave Semiconductor,2015-09-25,1113.4,R,0.3591266769818179
Sapphire Energy,2021-04-18,554.52,R,0.16492209036610356
Equinox Manufacturing,2023-12-16,213.27,D,-0.6370463795472789
Mosaic Consumer Goods,2011-01-22,4307.83,D,0.08298082509351284
BlueRiver Manufacturing,2023-06-01,897.39,D,-0.7814248212212955
United Semiconductor,2016-09-17,2941.08,R,0.7031948302175441
Aspire Automotive,2010-09-06,399.64,D,-0.35502088901491985
Evercrest Systems,2015-06-19,8199.11,D,-0.6911643501317529
Oakstone Industries,2018-01-28,1785.15,D,-0.4462512983276463
AmeriCore Energy,2020-02-16,1517.14,R,0.7811810347855594
Crescent Automotive,2016-09-12,870.28,D,-0.7791419463933508
Aspire Automotive,2020-04-01,264.9,D,-0.35502088901491985
Longview Energy,2019-05-04,407.92,R,0.5124859787131362
Vector Automotive,2016-02-26,938.91,R,-0.2194167350229036
Liberty Capital,2011-08-19,779.14,D,-0.6437524832958241
Infinity Partners,2016-11-16,677.89,R,-0.2896112414347556
Longview Energy,2017-03-08,242.27,R,0.5124859787131362
SilverRock Solutions,2020-01-25,1208.39,D,-0.34508089355433375
GoldenGate Networks,2023-05-24,784.16,D,-0.5643838184211613
Infinity Partners,2015-05-12,760.86,R,-0.2896112414347556
Northbridge Holdings,2015-06-12,1679.95,D,-0.6469534176374777
Riverstone Technologies,2018-07-12,573.96,D,-0.23339868032552136
Omega Health,2010-05-31,1086.47,R,-0.17762111751192633
Highland Logistics,2021-12-31,1946.32,D,-0.20675394355677812
NovaBridge Partners,2021-12-11,532.65,D,-0.5350259359541526
Oakstone Industries,2024-10-09,2986.72,D,-0.4462512983276463
MetroTech Solutions,2010-04-27,3208.49,D,-0.28918774931432745
Zenith Industries,2015-09-03,1319.68,D,-0.3067997146495536
Horizon Capital,2018-08-27,4199.97,D,-0.5446174747209411
Everton Technologies,2011-02-23,3287.21,D,-0.37360829603310824
Sterling Logistics,2020-11-26,763.25,R,-0.17547430260660823
Zenith Industries,2020-03-13,810.92,R,-0.3067997146495536
Vanguard Networks,2016-09-29,674.18,R,-0.7441456161534608
GoldenGate Networks,2016-12-16,254.97,D,-0.5643838184211613
AmeriCore Energy,2019-10-14,1293.57,R,0.7811810347855594
Orbit Semiconductor,2018-03-26,2942.01,R,0.3656188092303535
Apex Systems,2019-10-29,899.68,R,-0.3524012410794814
Everton Technologies,2021-07-24,595.61,R,-0.37360829603310824
Falcon Semiconductor,2023-06-26,196.83,D,0.16770146378342482
Sapphire Energy,2020-08-15,1323.03,R,0.16492209036610356
Cobalt Holdings,2015-10-04,1022.38,D,-0.34637523032738454
NextWave Semiconductor,2019-04-30,450.68,R,0.3591266769818179
EaglePeak Aerospace,2021-01-25,588.59,R,0.6649897912920661
Mosaic Consumer Goods,2019-08-31,890.59,R,0.08298082509351284
NorthStar Retail Group,2014-09-10,1725.52,D,-0.21768137947876254
Orbit Semiconductor,2012-05-19,517.51,R,0.3656188092303535
PrimeHealth Corporation,2018-01-29,929.93,R,0.09481580189139682
SummitLine Logistics,2011-03-17,671.0,D,-0.6131155245656207
Summit Technologies,2023-02-01,800.45,D,-0.6074794771416165
Evercrest Systems,2010-07-23,1653.74,D,-0.6911643501317529
Evercrest Systems,2024-10-13,830.87,R,-0.6911643501317529
NextWave Semiconductor,2020-10-31,650.37,R,0.3591266769818179
BluePeak Technologies,2021-07-06,2637.57,D,-0.7292989994131897
Heritage Automotive,2010-01-30,455.89,R,-0.3113024235082412
Millennium Retail Group,2010-08-24,982.37,D,-0.26308908144152243
Evercrest Systems,2013-12-28,741.04,R,-0.6911643501317529
Redwood Partners,2023-03-18,2803.02,D,-0.41854096357774834
NovaBridge Partners,2013-09-11,516.45,D,-0.5350259359541526
Omega Health,2019-04-27,837.57,D,-0.17762111751192633
United Semiconductor,2014-04-19,2174.21,R,0.7031948302175441
Evercrest Systems,2014-07-28,1262.73,R,-0.6911643501317529
Redwood Partners,2021-10-28,1099.82,D,-0.41854096357774834
Sapphire Energy,2024-06-06,848.3,R,0.16492209036610356
Pioneer Energy,2017-01-01,778.62,R,0.11750752865586686
Cobalt Holdings,2011-04-29,1542.59,R,-0.34637523032738454
UrbanStar Retail,2023-04-13,1299.37,D,0.02898247316376057
Sapphire Energy,2022-08-16,915.04,R,0.16492209036610356
Riverstone Technologies,2020-09-07,1559.02,D,-0.23339868032552136
Greenfield Manufacturing,2010-12-13,1464.34,D,-0.2359265237170345
Mosaic Consumer Goods,2020-01-16,310.56,D,0.08298082509351284
Brightline Capital,2016-03-01,520.23,D,-0.7954508682253574
PrimeHealth Corporation,2015-12-10,4373.56,D,0.09481580189139682
Mosaic Consumer Goods,2016-02-03,467.79,R,0.08298082509351284
MetroTech Solutions,2015-10-29,533.92,R,-0.28918774931432745
TerraLine Logistics,2021-10-06,305.62,D,-0.7679229314410365
NorthStar Retail Group,2022-05-13,3017.73,D,-0.21768137947876254
Arclight Manufacturing,2015-05-19,662.98,D,-0.6856182543666501
Omega Health,2024-05-17,436.6,R,-0.17762111751192633
Oakstone Industries,2022-12-23,1455.23,R,-0.4462512983276463
UrbanStar Retail,2021-10-12,584.9,D,0.02898247316376057
Everton Technologies,2020-09-10,1689.74,D,-0.37360829603310824
Orbit Semiconductor,2015-09-06,1237.89,D,0.3656188092303535
Mosaic Consumer Goods,2024-03-18,551.86,R,0.08298082509351284
TerraLine Logistics,2019-04-16,1679.21,D,-0.7679229314410365
NextWave Semiconductor,2023-11-15,241.19,R,0.3591266769818179
Mountain Ridge Industries,2022-06-10,428.52,D,-0.12995084945525315
Mountain Ridge Industries,2015-08-30,1367.96,R,-0.12995084945525315
Redwood Partners,2024-05-21,364.57,D,-0.41854096357774834
Zenith Industries,2022-01-14,2142.21,R,-0.3067997146495536
Apex Systems,2014-04-16,2040.59,D,-0.3524012410794814
Riverstone Technologies,2017-07-17,442.25,D,-0.23339868032552136
Frontier Semiconductor,2023-02-14,1413.79,R,0.5736896411960379
Paramount Systems,2010-07-09,549.25,D,-0.6533450784599586
Greenfield Manufacturing,2022-08-30,1709.07,D,-0.2359265237170345
NorthStar Retail Group,2017-05-07,771.08,R,-0.21768137947876254
Ironwood Aerospace,2016-08-03,1230.1,R,0.23918635548065395
Arclight Manufacturing,2022-12-15,10410.47,D,-0.6856182543666501
Longview Energy,2012-05-07,19943.37,R,0.5124859787131362
Vector Automotive,2021-02-22,1228.84,R,-0.2194167350229036
Horizon Capital,2011-10-01,442.79,D,-0.5446174747209411
Redwood Partners,2023-02-22,4688.86,D,-0.41854096357774834
Aspire Automotive,2021-01-09,1916.1,D,-0.35502088901491985
Sapphire Energy,2014-03-22,346.08,R,0.16492209036610356
Atlas Health,2018-06-22,878.79,D,-0.3304489338964671
EaglePeak Aerospace,2022-11-18,110.4,R,0.6649897912920661
Infinity Partners,2016-06-27,1045.82,D,-0.2896112414347556
Titan Aerospace,2018-12-07,1439.59,R,0.30257157452147504
Aurora Networks,2023-07-22,1758.41,D,-0.5046547262203107
Oakstone Industries,2018-08-18,1002.9,R,-0.4462512983276463
Frontier Semiconductor,2024-03-22,1466.63,R,0.5736896411960379
AmeriCore Energy,2012-04-05,800.23,R,0.7811810347855594
Vertex Energy,2018-12-12,2276.89,R,0.7556582113987458
Riverstone Technologies,2016-02-01,1399.72,D,-0.23339868032552136
Orbit Semiconductor,2021-07-17,558.58,R,0.3656188092303535
Horizon Capital,2012-07-04,1247.85,D,-0.5446174747209411
Skyline Retail,2012-07-18,998.21,R,-0.22364750236744266
Vertex Energy,2012-12-27,901.51,R,0.7556582113987458
BluePeak Technologies,2016-02-20,1477.92,D,-0.7292989994131897
Equinox Manufacturing,2015-09-23,968.73,D,-0.6370463795472789
BluePeak Technologies,2024-02-20,1211.72,D,-0.7292989994131897
Falcon Semiconductor,2022-11-20,1287.36,R,0.16770146378342482
Vector Automotive,2015-08-08,2143.28,D,-0.2194167350229036
Atlas Health,2012-10-26,888.5,D,-0.3304489338964671
Redwood Partners,2021-10-10,247.37,D,-0.41854096357774834
AmeriCore Energy,2019-01-10,1064.76,R,0.7811810347855594
SilverRock Solutions,2018-08-21,791.19,R,-0.34508089355433375
Crescent Automotive,2024-03-24,631.62,D,-0.7791419463933508
AmeriCore Energy,2014-03-17,1393.97,R,0.7811810347855594
Crescent Automotive,2024-05-16,1382.83,D,-0.7791419463933508
BlueRiver Manufacturing,2015-10-22,1331.15,D,-0.7814248212212955
Orbit Semiconductor,2016-05-13,3248.31,R,0.3656188092303535
Cypress Health,2019-12-04,336.9,D,-0.1277995867856065
Northbridge Holdings,2021-08-13,877.32,D,-0.6469534176374777
MetroTech Solutions,2022-05-19,987.27,D,-0.28918774931432745
Orbit Semiconductor,2012-11-21,1463.05,R,0.3656188092303535
Centurion Capital,2019-11-25,1737.98,R,-0.39585349832026656
Omega Health,2017-02-21,1195.6,D,-0.17762111751192633
Orbit Semiconductor,2022-07-14,713.77,R,0.3656188092303535
Riverstone Technologies,2020-11-11,1392.09,D,-0.23339868032552136
Mosaic Consumer Goods,2011-02-14,640.84,D,0.08298082509351284
Vector Automotive,2011-09-18,1191.83,R,-0.2194167350229036
GoldenGate Networks,2020-09-29,680.38,D,-0.5643838184211613
Aspire Automotive,2018-09-23,901.85,D,-0.35502088901491985
Mosaic Consumer Goods,2015-07-02,1120.07,D,0.08298082509351284
Longview Energy,2020-07-01,2119.34,R,0.5124859787131362
Liberty Capital,2021-09-02,725.99,D,-0.6437524832958241
Ironwood Aerospace,2018-01-25,953.35,R,0.23918635548065395
PrimeHealth Corporation,2018-01-13,1087.55,D,0.09481580189139682
Omega Health,2022-11-23,1365.45,R,-0.17762111751192633
Vector Automotive,2015-10-24,882.27,D,-0.2194167350229036
Highland Logistics,2014-04-19,3050.51,D,-0.20675394355677812
EaglePeak Aerospace,2016-02-04,3948.28,R,0.6649897912920661
SummitLine Logistics,2010-11-20,1100.43,D,-0.6131155245656207
Pioneer Energy,2022-10-01,394.38,D,0.11750752865586686
Summit Technologies,2021-07-02,2537.16,D,-0.6074794771416165
Greenfield Manufacturing,2021-01-12,1699.22,R,-0.2359265237170345
MetroTech Solutions,2023-11-24,1154.64,R,-0.28918774931432745
Sterling Logistics,2011-10-18,1108.87,D,-0.17547430260660823
Falcon Semiconductor,2015-01-14,1827.96,R,0.16770146378342482
Millennium Retail Group,2018-11-10,1650.76,D,-0.26308908144152243
Frontier Semiconductor,2021-08-09,1311.48,R,0.5736896411960379
Aspire Automotive,2024-11-28,685.46,D,-0.35502088901491985
Highland Logistics,2011-07-03,2770.94,D,-0.20675394355677812
Cobalt Holdings,2011-03-28,522.02,D,-0.34637523032738454
Aspire Automotive,2020-11-03,1858.22,R,-0.35502088901491985
Everton Technologies,2013-08-27,2233.41,R,-0.37360829603310824
EaglePeak Aerospace,2019-10-20,4823.05,R,0.6649897912920661
Northbridge Holdings,2015-02-24,1822.69,D,-0.6469534176374777
SummitLine Logistics,2021-09-15,3236.71,D,-0.6131155245656207
Heritage Automotive,2012-11-20,321.79,D,-0.3113024235082412
SummitLine Logistics,2020-04-10,2082.31,D,-0.6131155245656207
BluePeak Technologies,2021-07-10,520.44,D,-0.7292989994131897
Horizon Capital,2023-07-24,1074.73,D,-0.5446174747209411
Equinox Manufacturing,2011-12-03,1040.95,R,-0.6370463795472789
UrbanStar Retail,2023-05-03,2726.0,D,0.02898247316376057
Skyline Retail,2021-07-28,1526.55,R,-0.22364750236744266
Atlas Health,2023-12-18,1069.66,R,-0.3304489338964671
Sterling Logistics,2019-12-01,2353.36,D,-0.17547430260660823
Cypress Health,2020-10-10,625.34,D,-0.1277995867856065
Pioneer Energy,2020-01-27,1401.71,R,0.11750752865586686
Everton Technologies,2018-11-11,2732.19,D,-0.37360829603310824
Heritage Automotive,2011-03-16,1790.94,R,-0.3113024235082412
BlueRiver Manufacturing,2015-01-07,1649.12,R,-0.7814248212212955
Quantum Systems,2019-07-24,1172.92,D,-0.41357155810874113
MetroTech Solutions,2013-12-03,576.74,D,-0.28918774931432745
Paramount Systems,2019-11-03,768.63,D,-0.6533450784599586
Millennium Retail Group,2022-07-26,1114.54,D,-0.26308908144152243
Quantum Systems,2016-12-22,512.57,D,-0.41357155810874113
AmeriCore Energy,2021-03-28,2002.76,R,0.7811810347855594
Vanguard Networks,2017-04-12,803.68,D,-0.7441456161534608
SilverRock Solutions,2018-12-07,720.16,R,-0.34508089355433375
NorthStar Retail Group,2021-05-30,552.48,D,-0.21768137947876254
Sapphire Energy,2016-01-16,1069.5,R,0.16492209036610356
Pioneer Energy,2020-06-29,1191.15,R,0.11750752865586686
Brightline Capital,2010-08-30,3465.61,D,-0.7954508682253574
Zenith Industries,2015-01-06,3881.21,D,-0.3067997146495536
Centurion Capital,2022-05-06,3405.99,R,-0.39585349832026656
Vanguard Networks,2024-06-05,768.77,D,-0.7441456161534608
Redwood Partners,2020-06-27,933.81,D,-0.41854096357774834
Longview Energy,2021-11-06,2324.6,R,0.5124859787131362
SummitLine Logistics,2018-02-22,948.62,D,-0.6131155245656207
Falcon Semiconductor,2015-08-31,2542.65,R,0.16770146378342482
Sapphire Energy,2019-09-26,831.22,D,0.16492209036610356
Redwood Partners,2015-10-01,1677.34,D,-0.41854096357774834
Greenfield Manufacturing,2019-11-03,1335.63,D,-0.2359265237170345
Summit Technologies,2024-08-05,735.39,D,-0.6074794771416165
MetroTech Solutions,2013-02-14,886.84,D,-0.28918774931432745
